Statement,Link,Date
Biden extends sanctions over alleged cyberattacks on United States,https://www.tass.com/world/1596373,"Today, 07:36"
"Fearing possible seizure, parishioners stay overnight at Kiev-Pechersk Lavra",https://www.tass.com/world/1596369,"Today, 06:37"
"Ukrainian military fires 69 munitions at DPR in past day, leaving civilian wounded",https://www.tass.com/defense/1596363,"Today, 04:41"
Soyuz-2.1v carrier rocket delivers military satellite to orbit — Russian Defense Ministry,https://www.tass.com/russia/1596359,"Today, 03:35"
"Putin may attend fuel loading ceremony at Akkuyu Nuclear Power Plant, says Erdogan",https://www.tass.com/russia/1596353,"Today, 03:07"
DPR head says Russian forces steadily advance near Maryinka,https://www.tass.com/defense/1596349,"Today, 02:43"
Soyuz-2.1v carrier rocket blasts off from Plesetsk spaceport with military satellite,https://www.tass.com/russia/1596345,"Today, 01:52"
Russian service members help evacuate two people from Rukban camp in Syria,https://www.tass.com/russia/1596335,"Today, 01:49"
Putin lists drug trafficking in Russia by foreign special services as security threat,https://www.tass.com/russia/1596333,"Today, 01:14"
Moscow supports IAEA director general’s efforts to protect ZNPP — Russian diplomat,https://www.tass.com/russia/1596327,"Today, 01:12"
"Russian, Nicaraguan Defense Ministry representatives discuss military cooperation",https://www.tass.com/russia/1596325,"Today, 01:11"
"Dollar rises to 77 rubles, euro slides to 83.01 rubles on Moscow Exchange",https://www.tass.com/economy/1595783,"Yesterday, 09:58"
Rostec reveals advantages of Russia’s Product 305E helicopter-launched missile,https://www.tass.com/defense/1595777,"Yesterday, 09:45"
Discharge of water from Fukushima poses no threat to Primorye fishing — governor,https://www.tass.com/emergencies/1595773,"Yesterday, 09:15"
Russian Strategic Missile Forces begin large-scale command-and-staff exercise,https://www.tass.com/defense/1595769,"Yesterday, 08:13"
"One civilian killed, one injured as Kiev troops shelled DPR on Tuesday",https://www.tass.com/emergencies/1595757,"Yesterday, 06:03"
Russia’s Khachanov advances to quarterfinal of Miami Open,https://www.tass.com/sport/1595755,"Yesterday, 06:02"
Doctors positive about outcomes of extended space mission for ISS crew,https://www.tass.com/science/1595733,"Yesterday, 05:03"
Two militants killed during police operation in Chechnya’s Gudermes — Kadyrov,https://www.tass.com/emergencies/1595749,"Yesterday, 05:01"
"IOC sticks with ban on Russia hosting international sporting events, says Bach",https://www.tass.com/sport/1595731,"Yesterday, 05:00"
"IOC keeps decision on Russia’s ban from international tournaments in force, says Bach",https://www.tass.com/sport/1595727,"Yesterday, 01:48"
"IOC prohibits fans from bringing Russian, Belarusian symbols to stadiums",https://www.tass.com/sport/1595725,"Yesterday, 01:47"
IOC’s recommendations unlikely to facilitate return of Russian athletes — ROC head,https://www.tass.com/sport/1595709,"Yesterday, 01:34"
"Dollar falls to 76.67 rubles, euro climbs to 82.69 rubles",https://www.tass.com/economy/1595247,"Two days ago, 09:56"
Serviceman in southern Russia brought to trial on charges of treason,https://www.tass.com/emergencies/1595245,"Two days ago, 09:55"
Russian forces strike Ukrainian military convoy in Zaporozhye area — ministry,https://www.tass.com/world/1595239,"Two days ago, 09:04"
"Russian adventurers Konyukhov, Menyaylo complete record-breaking balloon flight",https://www.tass.com/russia/1594507,"26 Mar, 09:36 "
Regular flights between Vladivostok and Harbin resumed after three-year pause,https://www.tass.com/russia/1594505,"26 Mar, 09:23 "
Russian forces prevent transfer of reserves of Ukrainian forces in Kupyansk area,https://www.tass.com/russia/1594501,"26 Mar, 08:01 "
Russian forces destroy 5 Ukrainian sabotage groups in Kupyansk area — Defense Ministry,https://www.tass.com/russia/1594499,"26 Mar, 08:00 "
Russia considering option to explore Mars taking into account unaccomplished ESA mission,https://www.tass.com/russia/1594491,"26 Mar, 06:01 "
US has no indications Russia is preparing to use a nuclear weapon — Pentagon,https://www.tass.com/world/1594489,"26 Mar, 04:58 "
Ukrainian troops fire 63 shells at DPR communities on Saturday,https://www.tass.com/russia/1594487,"26 Mar, 04:28 "
"Russia to deploy its tactical nuclear weapons in Belarus at request of Minsk, says Putin",https://www.tass.com/russia/1594483,"26 Mar, 03:48 "
"Russia does not allow excessive militarization of its economy, says Putin",https://www.tass.com/russia/1594479,"26 Mar, 03:07 "
"Russia is able to respond to depleted uranium shells, Putin says",https://www.tass.com/russia/1594477,"26 Mar, 03:05 "
Putin calls protests in France ‘internal affair of that country’,https://www.tass.com/russia/1594475,"26 Mar, 02:54 "
West intentionally announced munitions supplies to Kiev during Russia-China talks — Putin,https://www.tass.com/russia/1594473,"26 Mar, 02:52 "
Russian explorers break 1994 record for hot air balloon flight distance set by Japanese,https://www.tass.com/society/1594459,"26 Mar, 01:15 "
Azerbaijani forces violate contact line in Shusha area — Russian Defense Ministry,https://www.tass.com/defense/1594385,"26 Mar, 00:43 "
